股票代碼,股票名稱,策略,總報酬率 (%),年化報酬率 (%),波動率 (%),夏普比率,最大回撤 (%),勝率 (%),交易次數
2454.TW,聯發科,RSI,172.54,68.36,28.14,2.43,-11.95,54.97,4
2454.TW,聯發科,MACD,1.53,0.79,24.31,0.03,-34.47,46.88,19
2454.TW,聯發科,MA_CROSS,-4.67,-2.46,25.86,-0.10,-22.25,46.79,15
2454.TW,聯發科,STOCHASTIC,46.04,21.74,26.18,0.83,-24.54,53.41,6
2317.TW,鴻海,RSI,17.31,8.65,24.85,0.35,-40.79,54.78,2
2317.TW,鴻海,MACD,10.96,5.55,21.38,0.26,-22.33,52.85,19
2317.TW,鴻海,MA_CROSS,44.12,20.91,23.90,0.88,-22.10,53.88,11
2317.TW,鴻海,STOCHASTIC,-29.57,-16.65,26.72,-0.62,-43.60,51.68,3
2412.TW,中華電,RSI,0.00,0.00,0.00,0.00,0.00,0.00,0
2412.TW,中華電,MACD,4.18,2.15,6.47,0.33,-6.87,55.90,19
2412.TW,中華電,MA_CROSS,1.69,0.88,8.03,0.11,-6.82,54.69,15
2412.TW,中華電,STOCHASTIC,3.40,1.75,4.12,0.43,-3.36,53.66,2
2881.TW,富邦金,RSI,14.20,7.14,12.61,0.57,-8.94,56.82,1
2881.TW,富邦金,MACD,28.13,13.74,14.85,0.93,-10.84,53.88,16
2881.TW,富邦金,MA_CROSS,14.62,7.35,17.89,0.41,-20.62,51.29,12
2881.TW,富邦金,STOCHASTIC,6.81,3.48,15.70,0.22,-20.24,55.56,3
2882.TW,國泰金,RSI,38.12,18.27,20.20,0.90,-19.64,57.07,2
2882.TW,國泰金,MACD,47.40,22.34,17.38,1.28,-8.98,56.77,15
2882.TW,國泰金,MA_CROSS,87.73,38.71,20.32,1.90,-13.18,56.40,16
2882.TW,國泰金,STOCHASTIC,13.05,6.58,17.28,0.38,-24.20,61.11,5
